tax_code,node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
3703060262,COMPANY::3703060262,0.16396812,0.20357451,0.033794925,0.023663213,0.077741206,0.07121737,-0.097529046,0.050966248,-0.07061029,-0.21629368,-0.23950872,-0.09925666,0.07236679,0.008662722,0.03841671,-0.0571862,-0.24918106,-0.099592075,-0.13633478,-0.20259927,-0.25724494,0.190701,-0.21419111,0.24763246,-0.28867888,0.25777942,-0.30314398,0.056188248,0.09796785,0.18781154,-0.19560464,0.3291587
0317302070,COMPANY::0317302070,0.105060056,0.07512863,0.049119975,0.037923332,0.03943985,0.06805331,-0.08330268,0.08170231,-0.101859435,-0.124539666,-0.13068692,-0.04392922,-0.01672171,-0.026887389,0.018149884,-0.083265275,-0.29194012,-0.07595593,-0.14668314,-0.175199,-0.25509483,0.18738447,-0.15996991,0.31850526,-0.33588076,0.23685187,-0.28333285,0.15661797,0.124649204,0.11845158,-0.21218897,0.43331444
8756555155,COMPANY::8756555155,0.14932083,0.12670048,0.055710133,0.045078106,0.045869455,0.039055735,-0.0947978,0.13268349,-0.052201513,-0.066297136,-0.044800803,-0.046591736,0.050722644,0.009151252,0.03341006,-0.07005436,-0.29692292,-0.10130051,-0.14526439,-0.17922056,-0.2576721,0.16590253,-0.24400629,0.2609482,-0.33120683,0.20861566,-0.33270994,0.09582406,0.0760667,0.2233917,-0.2181462,0.39590716
3703060921,COMPANY::3703060921,0.1607443,0.15794723,0.029884322,0.039041966,0.0716935,0.07375476,-0.1179653,0.07217847,-0.1081076,-0.21489783,-0.1959483,-0.07296374,0.05325386,-0.022672797,0.02210361,-0.08743824,-0.26143333,-0.086663544,-0.13491634,-0.22051725,-0.25880533,0.16108061,-0.18980071,0.31730288,-0.28314605,0.25883266,-0.26559877,0.12643181,0.10804867,0.14577012,-0.16267294,0.37231553
0317305480,COMPANY::0317305480,0.13735674,0.12072635,0.0368519,0.029617386,0.029219748,0.02811411,-0.09314176,0.12835886,-0.0399115,-0.05226988,-0.04343781,-0.04350883,0.050787564,0.013483864,0.025992395,-0.0766198,-0.29713896,-0.091950335,-0.13128673,-0.18349332,-0.26373133,0.16816643,-0.2356747,0.2558552,-0.3320713,0.21758541,-0.3183303,0.10443238,0.10383587,0.23903552,-0.23122792,0.40296757
0317304208,COMPANY::0317304208,0.12926441,0.15733196,0.027777152,0.024451159,0.064464055,0.056379527,-0.085344315,0.05036162,-0.062570944,-0.17949262,-0.19109853,-0.07749483,0.055953547,-0.0026814595,0.02203055,-0.05031777,-0.28013384,-0.08198281,-0.1599108,-0.2119146,-0.253722,0.17606047,-0.22043195,0.29033828,-0.30243096,0.2819286,-0.26346174,0.1319253,0.100396946,0.1950348,-0.20240891,0.3527258
0317305515,COMPANY::0317305515,0.15005757,0.15925017,0.035363935,0.041204147,0.05203544,0.08126783,-0.09195853,0.07217346,-0.1140756,-0.21535861,-0.20360336,-0.0676366,0.02157915,-0.016669935,0.026392903,-0.09677903,-0.2440276,-0.13588263,-0.14030471,-0.22978474,-0.24123536,0.14166142,-0.19302824,0.32186913,-0.24420676,0.29729784,-0.29493746,0.08392141,0.08371937,0.20166074,-0.17854081,0.3445857
2902139719,COMPANY::2902139719,0.045600068,0.07386872,-0.03847069,0.0013768466,-0.05842945,0.015620826,-0.04290681,0.12745354,-0.02006945,-0.032103684,-0.09983738,-0.043056697,0.06623932,-0.01449845,-0.056506597,-0.06193712,-0.30790675,-0.09094071,-0.18521336,-0.22403757,-0.27320135,0.19401088,-0.22813879,0.27316093,-0.36271048,0.20741023,-0.32654065,0.10276556,0.064986736,0.14698601,-0.21221024,0.3939685
0317304688,COMPANY::0317304688,0.12917647,0.14334415,0.026801903,0.028811593,0.027134124,0.07991398,-0.06544663,0.06902176,-0.0906519,-0.19894691,-0.1968682,-0.059492473,-0.004239146,-0.018212633,0.029570168,-0.079961166,-0.26638573,-0.10288904,-0.1371308,-0.2050212,-0.249278,0.15403262,-0.19683838,0.32769245,-0.2706023,0.27299115,-0.3050339,0.09869998,0.11832374,0.12812074,-0.1948396,0.39248106
8756796665-001,COMPANY::8756796665-001,-0.33208704,-0.45384687,-0.22666648,-0.12940109,-0.20950948,-0.17074507,-0.0054853545,-0.08107075,0.045725927,0.21411845,0.25943726,-0.11028379,0.20846581,0.0680544,-0.031665593,0.1982202,0.19341014,0.051129743,-0.17126961,-0.012099187,0.16093759,-0.07277485,-0.19106717,-0.13608451,0.09299196,0.11816191,0.01930499,-0.12595615,-0.15837748,0.1900609,0.1286704,-0.21873051
